symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,size_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,bos_extension_atr,bos_candles_ago,overhead_atr,underfoot_atr,buy_pressure,accel_ratio,absorption,signals,score_tags,premium,knn_score,swing_trend
MSFTUSDT,96,168,1775677500,1775743200,SHORT,TRAIL,376.235,372.30336406,364.44009217,380.16663594,2.0281467266894118,1.83675820255256,0.19138852413685187,14,6.84,36.75,0.28366762177650556,0.0031488860669244777,1.3520267142688571,base,adaptive disabled,1.15,1.0,80.0,55,94,100,80,CLOSE,bearish,neutral,OB,2.81,9,11.82,-1.0,-0.1802,2.474,4.143,BOS bearish | Vol 6.8x | FVG | OB | ChoCH | Session:CLOSE | Zone:OB | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTCok+1 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:CLOSE | QualityRisk:1.15,0,-1.0,bear
NVDAUSDT,113,172,1775692800,1775746800,SHORT,SL,181.9,178.16,174.5968,182.6276,-2.7831225948323315,-3.5331225948323364,0.7500000000000049,15,1.75,29.66,0.4821428571428603,0.0011607800456638325,0.5860649474999062,base,adaptive disabled,1.15,1.5,67.2,55,90,60,80,OFF,bearish,neutral,OB,1.315,3,5.259,2.281,-0.0181,6.2,1.256,BOS bearish | Vol 1.8x | FVG | OB | ChoCH | BearWick | Zone:OB | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | BearWick+1 | Zone:OB+1 | Sess:OFF | NestedOB_1h+2 | QualityRisk:1.15,0,-1.0,range
METAUSDT,122,168,1775700900,1775743200,LONG,TRAIL,613.935,630.05,642.651,611.42430356,7.504838833650499,7.015783294941078,0.4890555387094212,17,2.38,60.25,0.26666666666666955,0.002876559074988835,0.9228836161830651,base,adaptive disabled,1.15,1.0,79.7,55,92,100,80,OFF,bullish,neutral,OB,0.306,1,7.576,15.429,-0.1818,0.342,3.383,BOS bullish | Vol 2.4x | FVG | OB | ChoCH | Zone:OB | MTF 17 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:OFF | NestedOB_1h+2 | QualityRisk:1.15,0,0.7,bull
CRCLUSDT,144,168,1775720700,1775743200,SHORT,TRAIL,93.01,91.7068886,89.10066581,94.3131114,2.6498697994432385,2.5071191489616287,0.1427506504816098,14,1.94,34.74,0.3071253071253098,0.004126324065341892,1.1742517968990052,base,adaptive disabled,1.15,1.0,71.5,55,96,70,80,OFF,bearish,neutral,FVG,1.415,1,4.275,0.924,-0.0665,3.63,2.403,BOS bearish | Vol 1.9x | FVG | ChoCH | Engulfing | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | Zone:FVG+1 | Sess:OFF | QualityRisk:1.15,0,0.5,bear
TSLAUSDT,144,152,1775720700,1775728800,SHORT,SL,343.79,340.26,339.30673938,345.28442021,-1.4186103652867643,-1.8787085327225528,0.4600981674357884,16,1.31,38.1,0.4358974358974185,0.002102477410364916,1.2453553695362518,base,adaptive disabled,1.15,1.0,69.2,55,100,60,80,OFF,bearish,neutral,OB,0.46,1,4.369,3.383,0.0684,1.17,1.694,BOS bearish | Vol 1.3x | FVG | OB | ChoCH | Engulfing | Zone:OB | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:OFF | NestedOB_1h+2 | QualityRisk:1.15,0,0.525,bull
METAUSDT,152,168,1775727900,1775743200,LONG,TRAIL,615.905,630.05,642.651,611.38532295,3.7345174735439572,3.461973664246782,0.2725438092971753,19,1.81,65.31,0.19033232628398314,0.0024318054631769117,1.439815896159722,base,adaptive disabled,1.25,1.0,71.7,55,82,80,80,OFF,bullish,neutral,OB,1.405,2,8.325,20.338,0.2388,0.0,1.826,BOS bullish | Vol 1.8x | FVG | OB | LiqSweep | ChoCH | BullWick | Zone:OB | 💎PREMIUM | MTF 19 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | LiqSweep+1 | ChoCH+1 | BullWick+1 | Zone:OB+1 | Sess:OFF | 💎Premium+3 | QualityRisk:1.15 | RelStrengthRisk:1.25,1,0.55,bear
SNDKUSDT,155,162,1775730600,1775737800,LONG,TRAIL,790.1,803.89,825.6545,778.2485,1.2546035732274798,1.1212702398941463,0.13333333333333347,16,2.7,71.19,0.3611977542108562,0.007749166394542168,2.0509283469284036,base,adaptive disabled,1.0,1.0,76.2,55,90,90,80,OFF,bullish,neutral,FVG,4.068,5,2.933,8.346,0.3103,0.0,2.419,BOS bullish | Vol 2.7x | FVG | ChoCH | Engulfing | BullWick | Zone:FVG | MTF 16,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | BTCok+1 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF | NestedOB_1h+2,0,0.525,bear
MUUSDT,162,168,1775736900,1775743200,LONG,TRAIL,404.435,410.501525,422.634575,398.368475,1.807162014977954,1.6738286816446208,0.13333333333333305,16,4.42,66.64,0.3105076741440376,0.005158815776009439,1.1914777060479151,base,adaptive disabled,1.15,1.0,71.7,55,97,70,80,OFF,bullish,neutral,FVG,0.588,1,1.134,3.932,0.2289,1.473,4.693,BOS bullish | Vol 4.4x | FVG | LiqSweep | ChoCH | Engulfing | BullWick | Zone:FVG | MTF 16 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OFF | QualityRisk:1.15,0,0.5,range
METAUSDT,168,174,1775742300,1775748600,LONG,TRAIL,622.69,632.03035,650.71105,613.34965,1.510827460843047,1.3108274608430481,0.1999999999999988,15,2.94,60.53,0.31426851294401104,0.013090228151623293,6.624835711194998,base,adaptive disabled,1.25,1.5,76.7,55,77,100,80,OPEN,bullish,neutral,OB,0.305,2,1.311,4.477,0.1211,2.242,1.283,BOS bullish | Vol 2.9x | FVG | OB | ChoCH | Session:OPEN | Zone:OB | MTF 15 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:OPEN | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0.575,bull
SNDKUSDT,170,173,1775744100,1775747700,LONG,TRAIL,812.265,824.448975,848.816925,800.081025,1.3720635921536761,1.2387302588203433,0.13333333333333297,13,2.24,68.8,0.4794114010139721,0.010968054513784178,2.406265811130119,base,adaptive disabled,1.25,1.0,79.2,55,90,100,80,OPEN,bullish,neutral,OB,2.898,9,-1.0,7.182,0.2283,0.968,1.663,BOS bullish | Vol 2.2x | OB | ChoCH | Session:OPEN | Zone:OB | MTF 13 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+2 | BTC+2 | OB+1 | ChoCH+1 | Zone:OB+1 | Sess:OPEN | QualityRisk:1.15 | RelStrengthRisk:1.25,0,0.7,bull
