symbol,entry_bar,exit_bar,entry_time,exit_time,direction,outcome,entry,tp1,tp2,sl,gross_r,net_r,cost_r,mtf_score,volume_ratio,rsi,eff_ratio,vol_atr_pct,vol_ratio_regime,adaptive_pack,adaptive_reason,risk_mult,quality_score,trend_score,volatility_score,entry_quality_score,portfolio_risk_score,session,trend_1h,trend_4h,entry_source,signals,score_tags,premium,knn_score,swing_trend
GOOGLUSDT,20488,20523,1757965500,1758123900,LONG,SL,250.7115,253.96440136,257.21730272,247.45859864,-1.0,-1.2312195842298759,0.23121958422987587,14,1.99,68.04,0.24734679904142365,0.0044644587335713115,1.5680673504346467,base,adaptive disabled,1.25,82.3,90,89,70,80,CLOSE,bullish,bullish,FVG,BOS bullish | Vol 2.0x | FVG | ChoCH | Session:CLOSE | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:CLOSE | Strong1h+1 | TrendPairRisk:1.15 | RelStrengthRisk:1.25,0,0.5,range
BZUSDT,7804,7815,1758031200,1758042000,LONG,TRAIL,67.6875,68.47495317,69.26240634,66.90004683,0.9803936010462891,0.722521123372476,0.25787247767381316,17,2.25,61.71,0.4782608695651966,0.003460023408492398,2.1520064110702646,base,adaptive disabled,1.25,85.5,90,90,80,80,OPEN,bullish,bullish,OB,BOS bullish | Vol 2.2x | FVG | OB | ChoCH | BullWick | Session:OPEN | StrongTrend1h | Zone:OB | MTF 17 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | BullWick+1 | Zone:OB+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.45,bear
CLUSDT,6098,6105,1758031200,1758038400,LONG,TRAIL,63.6475,64.51121249,65.37492499,62.78378751,0.9853235441900262,0.7642517150678139,0.22107182912221238,17,2.34,65.62,0.563298490127769,0.003689686908409299,2.067040971125846,base,adaptive disabled,1.25,85.5,90,90,80,80,OPEN,bullish,bullish,OB,BOS bullish | Vol 2.3x | FVG | OB | ChoCH | BullWick | Session:OPEN | StrongTrend1h | Zone:OB | MTF 17 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | OB+1 | ChoCH+1 | BullWick+1 | Zone:OB+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.425,bear
INTCUSDT,20492,20534,1758032100,1758133800,LONG,SL,25.091,25.467365,25.84373,24.714635,-1.0,-1.2000000000000002,0.2000000000000001,16,2.66,67.1,0.17100977198697118,0.008517209725541696,2.3237007237019,base,adaptive disabled,1.25,78.5,90,70,70,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.7x | FVG | LiqSweep | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 16 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | LiqSweep+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.45,bear
BZUSDT,7809,8021,1758035700,1758259800,LONG,SL,67.9985,68.84934607,69.70019213,67.14765393,-1.0,-1.2397560583431964,0.23975605834319635,14,1.6,70.3,0.5925297113752152,0.002957742179538828,1.5142305639481302,base,adaptive disabled,1.25,78.5,90,100,50,80,MIDDAY,bullish,bullish,FVG,BOS bullish | Vol 1.6x | FVG | ChoCH | BullWick | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.25,BOS+2 | 1h+2 | 4h+2 | Vol+1 | BTC+2 | FVG+1 | ChoCH+1 | BullWick+1 | Zone:FVG+1 | Sess:MIDDAY | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.55,bull
XAUUSDT,6099,6115,1758116700,1758132000,LONG,SL,3672.94,3698.765,3703.91363034,3657.45318483,-1.0,-1.7114968364408933,0.7114968364408935,15,2.35,61.15,0.3399176551318464,0.001388797227044922,1.0567836352370548,base,adaptive disabled,1.15,74.0,60,100,70,80,OPEN,neutral,bullish,FVG,BOS bullish | Vol 2.4x | FVG | ChoCH | Engulfing | BullWick | Session:OPEN | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1hN+1 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Engulfing+1 | BullWick+1 | Zone:FVG+1 | Sess:OPEN | QualityRisk:1.15,0,0.525,bear
METAUSDT,20539,20541,1758137400,1758203100,LONG,TRAIL,774.2615,784.16274435,794.06398871,764.36025565,1.294547167004564,1.0599519567570752,0.23459521024748878,22,1.7,59.14,0.16270118964310856,0.0049037581452823125,1.6509397572081423,base,adaptive disabled,1.25,83.3,90,79,80,80,CLOSE,bullish,bullish,OB,BOS bullish | Vol 1.7x | FVG | OB | LiqSweep | MACD_Div | ChoCH | Engulfing | Session:CLOSE | StrongTrend1h | Zone:OB | 💎PREMIUM | MTF 22 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | OB+1 | LiqSweep+1 | MACD_Div+1 | ChoCH+1 | Engulfing+1 | Zone:OB+1 | Sess:CLOSE | Strong1h+1 | 💎Premium+3 | QualityRisk:1.15 | TrendPairRisk:1.25,1,0.55,bear
METAUSDT,20542,20613,1758203100,1758566700,LONG,SL,780.156,791.85834,803.56068,768.45366,-1.0,-1.200000000000001,0.2000000000000011,17,2.13,62.25,0.2658613512991598,0.009395026027753437,2.826672752545688,base,adaptive disabled,1.25,86.7,90,81,90,80,OPEN,bullish,bullish,FVG,BOS bullish | Vol 2.1x | FVG | MACD_Div | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 17 | Risk x1.25,BOS+2 | BodyStrong+1 | 1h+2 | 4h+2 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | MACD_Div+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15 | TrendPairRisk:1.25,0,0.5,bear
XAUUSDT,6192,6298,1758204000,1758303900,SHORT,SL,3646.9,3617.20677298,3587.51354596,3676.59322702,-1.0,-1.36845776286393,0.3684577628639301,15,2.05,35.67,0.34873685862231957,0.004368296248992384,3.3123967443773887,base,adaptive disabled,1.15,71.8,65,80,70,80,OPEN,bearish,neutral,FVG,BOS bearish | Vol 2.0x | FVG | ChoCH | BearWick | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 15 | Risk x1.15,BOS+2 | 1h+2 | 4hN+1 | Vol+2 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | BearWick+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15,0,0.5,bear
XAUUSDT,6193,6298,1758204900,1758303900,SHORT,SL,3646.9,3617.24236062,3587.58472125,3676.55763938,-1.0,-1.3688998932051875,0.36889989320518757,14,1.74,32.87,0.4555375805664747,0.0026892272489743643,2.039190356297004,base,adaptive disabled,1.15,73.8,65,90,70,80,OPEN,bearish,neutral,FVG,BOS bearish | Vol 1.7x | FVG | ChoCH | Session:OPEN | StrongTrend1h | Zone:FVG | MTF 14 | Risk x1.15,BOS+2 | BodyStrong+1 | 1h+2 | 4hN+1 | Vol+1 | RSI+1 | BTC+2 | FVG+1 | ChoCH+1 | Zone:FVG+1 | Sess:OPEN | Strong1h+1 | QualityRisk:1.15,0,0.425,bear
